id,tipo,text_start,text_end,text
10675381,Premise,1028,1208,"Mean weight changes per 4-week period were -1.0 kg (95% confidence interval [CI] = -1.5 to -0.5) in the control group and 0.2 kg (95% CI = -0.2 to +0.6) in the ATP group (P =.002)."
10675381,Premise,1209,1394,"Serum albumin concentration declined by -1.2 g/L (95% CI= -2.0 to -0.4) per 4 weeks in the control group but remained stable (0.0 g/L; 95% CI = -0.3 to +0.3) in the ATP group (P =.006)."
10675381,Premise,1395,1579,"Elbow flexor muscle strength declined by -5.5% (95% CI = -9.6% to -1. 4%) per 4 weeks in the control group but remained stable (0.0%; 95% CI= -1.4% to +1.4%) in the ATP group (P =.01)."
10675381,Premise,1580,1646,"A similar pattern was observed for knee extensor muscles (P =.02)."
10675381,Premise,1647,1843,"The effects of ATP on body weight, muscle strength, and albumin concentration were especially marked in cachectic patients (P =.0002, P =.0001, and P =. 0001, respectively, for ATP versus no ATP)."
10675381,Premise,1844,2152,"QOL score changes per 4-week period in the ATP group showed overall less deterioration than in the control group-physical scores (-0.2% versus -2.4%; P =. 0002); functional scores (+0.4% versus -5.5%; P =.02); psychologic scores (-0.7% versus -2.4%; P =.11); overall QOL score (+0.1% versus -3.5%; P =.0001)."
10675381,Claim,2193,2288,"ATP has beneficial effects on weight, muscle strength, and QOL in patients with advanced NSCLC."
10735887,Premise,552,677,"Overall objective response (OR) rates were higher in patients treated with EXE than in those treated with MA (15.0% v 12.4%);"
10735887,Premise,678,757,"a similar trend was noted in patients with visceral metastases (13.5% v 10.5%)."
10735887,Premise,758,1101,"Median survival time was significantly longer with EXE (median not reached) than with MA (123.4 weeks; P =.039), as were the median duration of overall success (OR or stable disease > or = 24 weeks; 60.1 v 49.1 weeks; P =.025), time to tumor progression (20.3 v 16.6 weeks; P =.037), and time to treatment failure (16.3 v 15.7 weeks; P =.042)."
10735887,Premise,1102,1195,"Compared with MA, there were similar or greater improvements in pain, TRSS, and QOL with EXE."
10735887,Claim,1196,1227,"Both drugs were well tolerated."
10735887,Premise,1228,1305,"Grade 3 or 4 weight changes were more common with MA (17.1% v 7.6%; P =.001)."
10735887,Claim,1306,1555,"EXE prolongs survival time, time to tumor progression, and time to treatment failure compared with MA and offers a well-tolerated treatment option for postmenopausal women with progressive advanced breast cancer who experienced failure of tamoxifen."
10856098,Premise,1116,1219,"The response rates, QOL, and median RD, TTP, and TTF were not significantly different between the arms."
10856098,Premise,1220,1293,"Median OS was 13.8 months for arm 1 versus 14.4 months for arm 2 (P =.4)."
10856098,Premise,1294,1434,"Grade 3 or 4 granulocytopenia was equivalent in both arms but more grade 3/4 neurotoxicity, mild venous toxicity, and FN were seen on arm 1."
10856098,Claim,1435,1501,"The survival with DOX and VNB is not superior to DOX alone in MBC."
10880548,MajorClaim,1,223,"Menopausal symptoms (e.g., hot flashes, vaginal dryness, and stress urinary incontinence) are very common in breast cancer survivors and cannot be managed with standard estrogen replacement therapy (ERT) in these patients."
10880548,Premise,1493,1661,"Patients receiving the intervention demonstrated statistically significant improvement (P =.0004) in menopausal symptoms but no significant change in vitality (P =.77)."
10880548,Premise,1662,1789,"Sexual functioning was statistically significantly improved (P =.04) in the treatment group compared with the usual-care group."
10880548,Claim,1790,2009,"A clinical assessment and intervention program for menopausal symptom management in breast cancer survivors is feasible and acceptable to patients, leading to reduction in symptoms and improvement in sexual functioning."
10880548,Claim,2010,2079,"Measurable improvement in a general QOL measure was not demonstrated."
10880550,Claim,1,135,"In phase II trials, paclitaxel has been shown to have antitumor activity in patients with advanced non-small-cell lung cancer (NSCLC)."
10880550,Premise,1028,1226,"Survival was statistically significantly better in the paclitaxel plus supportive care arm than in the supportive care alone arm (two-sided P =.037) (median survival = 6.8 months versus 4.8 months)."
10880550,Premise,1227,1380,"Cox multivariate analysis showed paclitaxel plus supportive care to be statistically significantly associated with improved survival (two-sided P =.048)."
10880550,Premise,1381,1421,"QOL was similar for both treatment arms,"
10880550,Premise,1422,1610,"except for the functional activity score of the Rotterdam Symptom Checklist, where QOL data statistically significantly favored the paclitaxel plus supportive care arm (two-sided P =.043)."
10880550,Claim,1611,1829,"The addition of paclitaxel to best supportive care significantly improved survival and time to disease progression compared with best supportive care in patients with advanced NSCLC and may improve some aspects of QOL."
10930797,Premise,985,1133,"The final multivariate model predicted poor survival with multiple sites of visceral disease (P=0.003), DFI </=2 years (P=0.026) and pain (P=0.003)."
10930797,Premise,843,984,"For survival, multiple sites of visceral disease, pain, global QL and fatigue were significant prognostic factors in the univariate analysis."
10930797,Premise,1134,1248,"For response, age, dyspnoea, fatigue and global QL were significant predictive factors in the univariate analysis."
10930797,Premise,1249,1408,"The final multivariate model for response selected DFI (P=0.009), multiple sites of visceral disease (P=0.037) and dyspnoea (P=<0.001) using forward selection,"
10930797,Premise,1409,1548,"but model instability was indicated by the inclusion of fatigue and emotional function in the final model when backward selection was used."
10930797,Claim,1588,1721,"patient-assessed QL variables appear to be prognostic for survival and response to chemotherapy in women with advanced breast cancer."
10930797,Claim,1722,1892,"However, identification of prognostic factors from responses to questionnaires may be unstable, and their reliability and clinical utility should be tested prospectively."
10944126,Premise,759,979,"Patients allocated to oxaliplatin plus LV5FU2 had significantly longer progression-free survival (median, 9.0 v 6.2 months; P =.0003) and better response rate (50.7% v 22.3%; P =.0001) when compared with the control arm."
10944126,Premise,980,1081,"The improvement in overall survival did not reach significance (median, 16.2 v 14.7 months; P =. 12)."
10944126,Premise,1082,1381,"LV5FU2 plus oxaliplatin gave higher frequencies of National Cancer Institute common toxicity criteria grade 3/4 neutropenia (41. 7% v 5.3% of patients), grade 3/4 diarrhea (11.9% v 5.3%), and grade 3 neurosensory toxicity (18.2% v 0%), but this did not result in impairment of quality of life (QoL)."
10944126,Premise,1382,1528,"Survival without disease progression or deterioration in global health status was longer in patients allocated to oxaliplatin treatment (P =.004)."
10944126,Claim,1529,1738,"The LV5FU2-oxaliplatin combination seems beneficial as first-line therapy in advanced colorectal cancer, demonstrating a prolonged progression-free survival with acceptable tolerability and maintenance of QoL."
10944130,Premise,742,893,"Complete or partial responses were achieved by 12% of patients treated with IFNalpha2a plus 13-CRA and 6% of patients treated with IFNalpha2a (P =.14)."
10944130,Premise,894,1106,"Median duration of response (complete and partial combined) in the group treated with the combination was 33 months (range, 9 to 50 months), versus 22 months (range, 5 to 38 months) for the second group (P =.03)."
10944130,Premise,1107,1277,"Nineteen percent of patients treated with IFNalpha2a plus 13-CRA were progression-free at 24 months, compared with 10% of patients treated with IFNalpha2a alone (P =.05)."
10944130,Premise,1278,1402,"Median survival time for all patients was 15 months, with no difference in survival between the two treatment arms (P =.26)."
10944130,Premise,1403,1488,"QOL decreased during the first 8 weeks of treatment, and a partial recovery followed."
10944130,Premise,1489,1547,"Lower scores were associated with the combination therapy."
10944130,Claim,1548,1691,"Response proportion and survival did not improve significantly with the addition of 13-CRA to IFNalpha2a therapy in patients with advanced RCC."
10944130,Claim,1692,1788,"13-CRA may lengthen response to IFNalpha2a therapy in patients with IFNalpha2a-sensitive tumors."
10944130,Claim,1789,1876,"Treatment, particularly the combination therapy, was associated with a decrease in QOL."
11034245,MajorClaim,153,238,"Intravenous 5-fluorouracil (5-FU) and leucovorin has been a mainstay of chemotherapy,"
11034245,MajorClaim,243,313,"oral 5-FU derivatives have been shown a comparable antitumor activity."
11034245,Claim,1,152,"Postoperative adjuvant chemoradiation treatment after curative resection for rectal cancer was needed to reduce recurrence and improve a survival rate."
11034245,Premise,1354,1453,"Mean numbers of chemotherapy cycles were 6.5+/-3.7 (IV arm) vs. 7.2+/-4.3 (oral arm), respectively."
11034245,Premise,1454,1566,"The rate of recurrence was 9/74 (12.1%) in the IV arm and 6/92 (6.5 %) in the oral arm, respectively (P = .937)."
11034245,Premise,1567,1681,"Local recurrence was 2/74 (stage III; 2.7%) in the IV arm and 1/92 (stage II; 1.1%) in the oral arm, respectively."
11034245,Premise,1682,1800,"Systemic recurrence was 7/74 (stage III; 9.4%) in the IV arm and 5/92 (stage III; 5.4%) in the oral arm, respectively."
11034245,Premise,1801,1859,"The most common site of systemic recurrence was the liver."
11034245,Premise,1860,1998,"Toxicity profile was as follows: leukopenia (30/74 vs. 17/92) and alopecia (21/74 vs. 13/92) were statistically more common in the IV arm."
11034245,Premise,1999,2040,"Diarrhea was more common in the oral arm."
11034245,Premise,2041,2176,"Poor quality of life score between two groups was observed at 1 month (23.9% vs. 13%) and 2 months (15.8% vs. 3.7%) after chemotherapy."
11034245,Premise,2177,2293,"Good quality of life score was observed at 1 month (19.5% vs. 49%) and 2 months (47% vs. 72%), respectively (P<.05)."
11034245,Claim,2294,2457,"Oral doxifluridine with leucovorin shows a comparable therapeutic efficacy to intravenous 5-FU regimen with high quality of life as postoperative adjuvant therapy."
11034245,Claim,2458,2543,"The oral regimen also can be safely given with appropriate toxicity and tolerability."
11106123,Premise,1620,1768,"After a median follow-up time of 62 (range 18-108) weeks, the median time to progression was 38, 25, and 27 weeks for arm A, B, and C, respectively."
11106123,Premise,1769,1872,"With 94 patients still alive, the one-year probability of survival was 61%, 54%, and 59%, respectively."
11106123,Premise,1873,1995,"WHO grade 3 or 4 neutropenia and diarrhoea affected 46% and 16%, respectively, of patients treated with CPT-11 + LFA 5-FU."
11106123,Premise,1996,2087,"Median relative dose intensity over eight cycles (DI8) was 78% for CPT-11 and 82% for 5-FU."
11106123,Premise,2088,2226,"Severe toxicities of TOM + LFA-5-FU were neutropenia (16%) and diarrhoea (16%), but median relative DI8 was 93% for TOM, and 82% for 5-FU."
11106123,Premise,2227,2377,"CPT-11 + LFA-5-FU compares favorably in term of activity and toxicity with other combination regimens including CPT-11 and continuous infusional 5-FU."
11106123,Claim,2378,2495,"The hypothesis of a RR 15% higher than the MTX + LFA-5-FU treatment can not be ruled out after this interim analysis."
11106123,Claim,2496,2683,"The TOM + LFA 5-FU regimen showed a RR and a toxicity profile very close to the MTX + LFA 5-FU combination, and does not deserve further evaluation in advanced colorectal cancer patients."
11142481,Premise,905,1197,"Nine CR and twenty-seven PR were obtained on one hundred eleven evaluable patients treated in experimental arm (RR = 32%, 95% confidence interval (95% CI): 24%-42%), while two CR and eleven PR were observed among one hundred three evaluable patients in control arm (RR = 13%, 95% CI: 7%-21%)."
11142481,Premise,1198,1302,"WHO grade 3-4 toxicity occurred in 13% of cycles of experimental arm and in 8% of cycles in control arm."
11142481,Premise,1303,1405,"The PFS was significantly longer in experimental arm (6.2 vs. 4.3 months, odds ratio 0.66, P = 0.003),"
11142481,Premise,1412,1523,"the overall survival was similar in both arms (14.8 months in experimental arm vs. 14.1 months in control arm);"
11142481,Claim,1524,1560,"quality of life was similar as well."
11142481,Premise,1561,1681,"Eighty percent of patients receiving second-line chemotherapy in control arm were treated with continuous infusion 5-FU."
11142481,Claim,1695,1829,"schedule-specific biochemical modulation of FU is more active than MTX --> 5-FU as first-line treatment of advanced colorectal cancer."
11142481,Claim,1830,2017,"However, the overall survival was similar suggesting that alternating bolus and infusional 5-FU upfront may be as effective as giving them in sequence as first- and second-line treatment."
11181777,MajorClaim,1,121,"The combination of etoposide plus cisplatin (EP) is considered to be standard therapy for small-cell lung cancer (SCLC)."
11181777,Premise,1209,1465,"Patients in the PCDE arm had a statistically significant higher frequency of combined complete plus partial responses compared with those in the EP arm (21% plus 55% versus 13% plus 48%, respectively; P =.02 for difference in combined objective responses)."
11181777,Premise,1466,1653,"Patients in the PCDE arm survived longer than those in the EP arm (1-year survival rate: 40% and 29%, respectively; median survival: 10.5 and 9.3 months, respectively; log-rank P =.0067)."
11181777,Premise,1654,1812,"In the Cox model, the relative risk of death for patients in the PCDE arm compared with those in the EP arm was 0.70 (95% confidence interval = 0.51 to 0.95);"
11181777,Premise,1813,1881,"the disease also progressed more slowly in patients in the PCDE arm."
11181777,Premise,1882,2004,"Hematologic toxicity was higher in the PCDE arm (22% with documented infections compared with 8% in the EP arm; P =.0038),"
11181777,Premise,2009,2099,"the toxicity-related death rate was 9% in the PCDE arm versus 5.5% in the EP arm (P =.22)."
11181777,Claim,2100,2182,"The global health status showed similar improvement in both arms during treatment."
11181777,Claim,2183,2392,"Compared with the EP regimen, the PCDE regimen yielded higher response rates and better survival rates in patients with extensive SCLC without affecting the quality of life of the patients during chemotherapy."
11250991,Premise,1118,1193,"The projected 2-year PFS is 90.4% on three cycles and 89.4% on four cycles."
11250991,Premise,1194,1297,"The difference in PFS between three and four cycles is -1.0% (80% confidence limit [CL], -3.8%, +1.8%)."
11250991,Claim,1298,1421,"Equivalence for three versus four cycles is claimed because both the upper and lower bounds of the 80% CL are less than 5%."
11250991,Premise,1422,1558,"In the 5- versus 3-day comparison, the projected 2-year PFS is 88.8% and 89.7%, respectively (difference, -0.9%, (80% CL, -4.1%, +2.2%)."
11250991,Claim,1566,1613,"equivalence is claimed in this comparison also."
11250991,Premise,1614,1696,"Frequencies of hematologic and nonhematologic toxicities were essentially similar."
11250991,Premise,1697,1770,"Quality of life was maintained better in patients receiving three cycles;"
11250991,Premise,1771,1834,"no differences were detected between 3 and 5 days of treatment."
11250991,Claim,1852,1960,"three cycles of BEP, with etoposide at 500 mg/m(2), is sufficient therapy in good-prognosis germ cell cancer"
11250991,Claim,1970,2085,"the administration of the chemotherapy in 3 days has no detrimental effect on the effectiveness of the BEP regimen."
11304763,Premise,780,862,"Complete and partial response rates to induction PE were 3% and 32%, respectively."
11304763,Premise,863,956,"A 7% response rate was observed with topotecan (complete response, 2%; partial response, 5%)."
11304763,Premise,957,1027,"The median survival time for all 402 eligible patients was 9.6 months."
11304763,Premise,1028,1198,"Progression-free survival (PFS) from date of randomization on step 2 was significantly better with topotecan compared with observation (3.6 months v 2.3 months; P <.001)."
11304763,Premise,1208,1371,"overall survival from date of randomization on step 2 was not significantly different between the observation and topotecan arms (8.9 months v 9.3 months; P =.43)."
11304763,Premise,1372,1524,"Grade 4 neutropenia and thrombocytopenia occurred in 50% and 3%, respectively, of PE patients in step 1 and 60% and 13% of topotecan patients in step 2."
11304763,Premise,1525,1612,"Grade 4/5 infection was observed in 4.6% of PE patients and 1.8% of topotecan patients."
11304763,Premise,1613,1682,"Grade 3/4 anemia developed in 22% of patients who received topotecan."
11304763,Premise,1683,1820,"No difference in quality of life between topotecan and observation was observed at any assessment time or for any of the subscale scores."
11304763,Claim,1821,1989,"Four cycles of PE induction therapy followed by four cycles of topotecan improved PFS but failed to improve overall survival or quality of life in extensive-stage SCLC."
11304763,Claim,1990,2124,"Four cycles of standard PE remains an appropriate first-line treatment for extensive-stage SCLC patients with good performance status."
12122096,MajorClaim,1,118,"The role of adjuvant chemotherapy in postmenopausal patients with lymph node-negative breast cancer is controversial."
12122096,Premise,1161,1385,"The added benefit of CMF followed by tamoxifen over tamoxifen alone was statistically significantly dependent on ER status (tests for interaction: P =.01 for disease-free survival [DFS] and P =.07 for overall survival [OS])."
12122096,Premise,1386,1826,"For patients with ER-negative tumors, the addition of CMF statistically significantly improved DFS (5-year DFS = 84% for CMF-->tamoxifen versus 69% for tamoxifen alone; difference = 15%; 95% confidence interval [CI] = 6% to 24%; risk ratio [RR] = 0.52; 95% CI = 0.34 to 0.79; P =.003) and OS (5-year OS = 89% for CMF-->tamoxifen versus 81% for tamoxifen alone; difference = 8%; 95% CI = 0% to 16%; RR = 0.51; 95% CI = 0.30 to 0.87; P =.01)."
12122096,Premise,1827,2233,"By contrast, for patients with ER-positive tumors, addition of CMF provided no benefit in terms of DFS (5-year DFS = 84% for CMF-->tamoxifen versus 85% for tamoxifen alone; difference = -1; 95% CI = -6% to 4%; RR = 0.99; 95% CI = 0.75 to 1.30; P =.92) or OS (5-year OS = 95% for CMF-->tamoxifen versus 93% for tamoxifen alone; difference = 2%; 95% CI = -1% to 5%; RR = 0.95; 95% CI = 0.64 to 1.40; P =.80)."
12122096,Claim,2234,2412,"Postmenopausal patients with lymph node-negative breast cancer benefited substantially from adjuvant chemotherapy if their cancer was ER-negative (i.e., endocrine-nonresponsive)."
12122096,Claim,2413,2574,"In contrast, if their cancer was ER-positive (i.e., endocrine-responsive), they obtained no benefit from the combination treatment compared with tamoxifen alone."
12131085,Claim,131,268,"A colonic J-pouch may reduce excessive stool frequency and incontinence after anterior resection, but at the risk of evacuation problems."
12131085,Claim,269,368,"Experimental surgery on pigs has suggested that a coloplasty pouch (CP) may be a useful alternative"
12131085,Premise,1187,1306,"At 4 months, J-pouch patients had 10.3% less stool fragmentation but poorer stool deferment and more nocturnal leakage."
12131085,Premise,1316,1413,"there were no differences in the bowel function, continence score, and quality of life at 1 year."
12131085,Premise,1414,1500,"There were no differences in the anorectal manometry and endoanal ultrasound findings."
12131085,Claim,1501,1597,"Coloplasty pouches resulted in more anastomotic leaks and minimal differences in bowel function."
12131085,Claim,1610,1674,"the J-pouch remains the benchmark for routine clinical practice,"
12131085,Claim,1679,1767,"due care (including defunctioning stoma) should be exercised in situations requiring CP."
12131085,Premise,1148,1186,"CP resulted in more anastomotic leaks."
12181240,Claim,1,83,"Chemotherapy is moderately efficient as a treatment for pancreatic adenocarcinoma,"
12181240,Claim,84,172,"but patient survival and quality of life has improved with this modality in some trials."
12181240,Premise,1271,1482,"Toxicity (WHO grade 3-4) was lower with FU than with FUP (20% versus 48%, P <0.001), as was neutropenia (6% versus 23%), vomiting (4% versus 17%) and toxicity-related deaths (one versus four early in the trial)."
12181240,Premise,1483,1605,"The response rate was low in both arms, but superior in the FUP arm: 12% versus 0% (intention-to-treat analysis, P <0.01)."
12181240,Premise,1606,1761,"The survival rates at 6 months were 28% and 38% for the FU and FUP arms, respectively, and 1-year survival rates were 9% and 17% (log-rank test, P = 0.10)."
12181240,Premise,1762,1860,"One-year progression-free survival was 0% with FU versus 10% with FUP (log-rank test, P = 0.0001)."
12181240,Claim,1861,2030,"In advanced pancreatic carcinomas with a poor prognosis, FUP was superior to FU in terms of response and progression-free survival, but not in terms of overall survival."
12181240,Claim,2142,2219,"A more effective, better tolerated version of this FUP combination is needed."
12195763,Claim,1,99,"Amitriptyline is the most common analgesic adjuvant used in cancer patients with neuropathic pain,"
12195763,Claim,112,160,"no specific studies have demonstrated a benefit."
12195763,Premise,1210,1474,"No significant benefits in analgesia were found in the global pain intensity of the previous week of treatment, the least pain intensity or the pain evaluated just after a week of treatment, at the moment of the visit, when amitriptyline was compared with placebo."
12195763,Premise,1475,1545,"A significant difference was evidenced for the worst pain (P < 0.035)."
12195763,Premise,1546,1615,"No differences in opioid doses during the period of study were found."
12195763,Premise,1616,1765,"Drowsiness, confusion and dry mouth were significantly more intense with amitriptyline than with placebo (P < 0.036, 0.003, and 0.034, respectively)."
12195763,Premise,1766,1884,"There were no substantial differences between the two treatments in Spitzer's quality of life score and for each item."
12195763,Premise,1885,1965,"No differences in patients' preference for the two treatment periods were found."
12195763,Claim,1966,2053,"The analgesic effects of amitriptyline were slight and associated with adverse effects."
12195763,Claim,2101,2168,"the extensive use of the drug for cancer pain should be questioned."
12202326,Premise,1968,2147,"No evidence of a difference was observed between the two treatment groups in terms of activity level, anxiety, depression, and psychological distress, as recorded by the patients."
12202326,Premise,2148,2213,"Adverse events were more common in the immediate treatment group."
12202326,Premise,2214,2295,"Neither group had a survival advantage (hazard ratio 0.95, 0.73 to 1.24; P=0.71)."
12202326,Premise,2296,2342,"Median survival was 8.3 months and 7.9 months,"
12202326,Premise,2347,2458,"the survival rates were 31% and 29% at 12 months, for the immediate and delayed treatment groups, respectively."
12202326,Claim,2459,2759,"In minimally symptomatic patients with locally advanced non-small cell lung cancer, no persuasive evidence was found to indicate that giving immediate palliative thoracic radiotherapy improves symptom control, quality of life, or survival when compared with delaying until symptoms require treatment."
12202326,Premise,1733,1967,"The primary outcome measure was achieved in 28% of the immediate treatment group and 26% of patients from the delayed treatment group (27/97 and 27/103, respectively; absolute difference 1.6%, 95% confidence interval -10.7% to 13.9%)."
12243809,Premise,1279,1384,"The incidence of Grade 4 toxicity was 56% in patients receiving mitomycin-C and 29% in those who did not."
12243809,Premise,1385,1491,"Only 1 patient in each group had acute nonhematologic toxicity greater than Grade 3 (nausea and vomiting)."
12243809,Premise,1492,1538,"No acute Grade 4 radiation toxicity developed."
12243809,Premise,1539,1608,"The incidences of long-term toxicity were equivalent across the arms."
12243809,Premise,1609,1798,"Three treatment-related deaths occurred: 2 patients in the surgical arms (one late pulmonary toxicity and one pulmonary embolus), and 1 patient in the radiation arm (radiation pneumonitis)."
12243809,Premise,1799,1859,"Induction chemotherapy was completed in 78% of the patients."
12243809,Premise,1860,1938,"Complete resection was performed in 73% of 26 patients undergoing thoracotomy."
12243809,Premise,1939,2003,"Consolidation chemotherapy was completed in 75% of the patients."
12243809,Premise,2004,2079,"No statistically significant difference was found among the treatment arms."
12243809,Premise,2080,2160,"The overall progression-free survival rate was 53% at 1 year and 17% at 3 years."
12243809,Premise,2161,2212,"The median progression-free survival was 14 months."
12243809,Premise,2213,2348,"No difference in the 1-year survival rate (70% vs. 66%) or median survival time (19.4 vs. 17.4 months) between the surgery and RT arms."
12243809,Premise,2349,2438,"The median survival in the patients receiving induction chemotherapy only was 8.9 months."
12243809,Premise,2439,2488,"Mitomycin-C had no impact on survival (p = 0.75)."
12243809,Premise,2489,2601,"No statistically significant difference was noted in the time to local failure between the surgical and RT arms."
12243809,Claim,2602,2666,"The patient accrual to this trial made its results inconclusive,"
12243809,Claim,2720,2845,"histologic confirmation of N2 disease in the surgical and nonsurgical arms eliminated the usual biases from clinical staging."
12243809,Claim,2863,2946,"local control and survival were essentially equal between the surgical and RT arms."
12243809,Claim,2947,3062,"The 3- and 5-year survival rates of nonsurgical therapy were comparable to published surgical trials of N2 disease."
12351592,Premise,1,92,"Mucositis occurs in almost all patients treated with radiotherapy for head and neck cancer."
12351592,Premise,862,927,"Toxicity profiles were similar between the two arms of the study."
12351592,Premise,928,1068,"The median time to development of severe mucositis from the start of radiotherapy was 3.61 weeks on BCoG and 3.96 weeks on placebo (P =.61)."
12351592,Premise,1069,1268,"There were no statistically significant differences between the arms in the extent of severe mucositis as measured by physician, in oral toxicities as recorded by patients, or in radiotherapy delays."
12351592,Claim,1466,1602,"in this group of patients treated with conventional radiotherapy, the lozenge did not impact significantly on the severity of mucositis."
12351592,Claim,1603,1815,"Whether such a lozenge would be beneficial in treatment situations where rate of severe mucositis is higher (ie, in patients treated with unconventional fractionation or with concomitant chemotherapy) is unknown."
12359855,Claim,1,85,"Bone metastases are a common cause of morbidity in patients with prostate carcinoma."
12359855,Premise,964,1318,"A greater proportion of patients who received placebo had skeletal-related events than those who received zoledronic acid at 4 mg (44.2% versus 33.2%; difference = -11.0%, 95% confidence interval [CI] = -20.3% to -1.8%; P =.021) or those who received zoledronic acid at 8/4 mg (38.5%; difference versus placebo = -5.8%, 95% CI = -15.1% to 3.6%; P =.222)."
12359855,Premise,1319,1594,"Median time to first skeletal-related event was 321 days for patients who received placebo, was not reached for patients who received zoledronic acid at 4 mg (P =.011 versus placebo), and was 363 days for those who received zoledronic acid at 8/4 mg (P =.491 versus placebo)."
12359855,Premise,1595,1803,"Compared with urinary markers in patients who received placebo, urinary markers of bone resorption were statistically significantly decreased in patients who received zoledronic acid at either dose (P =.001)."
12359855,Premise,1804,1924,"Pain and analgesic scores increased more in patients who received placebo than in patients who received zoledronic acid,"
12359855,Premise,1929,2042,"there were no differences in disease progression, performance status, or quality-of-life scores among the groups."
12359855,Claim,2043,2116,"Zoledronic acid at 4 mg given as a 15-minute infusion was well tolerated,"
12359855,Claim,2121,2184,"the 8-mg dose was associated with renal function deterioration."
12359855,Claim,2185,2290,"Zoledronic acid at 4 mg reduced skeletal-related events in prostate cancer patients with bone metastases."
12395333,Claim,159,269,"Tamoxifen (TMX) is believed to inhibit HCC positive for estrogen receptor (ER), but most HCCs are ER negative."
12395333,Claim,270,362,"Results of previous phase 3 trials in inoperable HCC have been conflicting and inconclusive."
12395333,Claim,363,440,"At higher doses, however, TMX inhibits HCC through ER-independent mechanisms."
12395333,Premise,1112,1317,"Three-month survival rates for the P, TMX60, and TMX120 groups were 44%, 41%, and 35%, respectively, with a statistically significant trend difference in survival across the 3 treatment regimens (P =.011)."
12395333,Premise,1318,1468,"There was a significantly higher risk of death in the TMX120 group compared with the P group (hazard ratio, 1.39; 95% confidence interval, 1.07-1.81)."
